timestamp,vib_x,vib_y,vib_z,vib_total,roll_deg,pitch_deg,yaw_deg,servo1,servo2,servo3,servo4,servo5,servo6
1782419266.054,0.04698,0.04093,0.02951,0.06895,-0.1,-1.98,-162.81,1500,1500,1500,1500,1500,1500
1782419266.386,0.04564,0.03297,0.03937,0.0687,-0.11,-1.98,-162.81,1500,1500,1500,1500,1500,1500
1782419266.718,0.04887,0.03775,0.03313,0.07008,-0.11,-1.98,-162.81,1500,1500,1500,1500,1500,1500
1782419267.052,0.03688,0.03337,0.03464,0.06061,-0.11,-1.99,-162.81,1500,1500,1500,1500,1500,1500
1782419267.385,0.04443,0.03434,0.03534,0.06635,-0.11,-1.99,-162.8,1500,1500,1500,1500,1500,1500
1782419267.719,0.04173,0.04335,0.03504,0.06963,-0.11,-1.98,-162.8,1500,1500,1500,1500,1500,1500
1782419268.051,0.03342,0.02575,0.03504,0.05484,-0.11,-1.99,-162.8,1500,1500,1500,1500,1500,1500
1782419268.381,0.04917,0.03125,0.03187,0.06641,-0.11,-1.99,-162.79,1500,1500,1500,1500,1500,1500
1782419268.716,0.03307,0.02523,0.03274,0.05293,-0.11,-1.99,-162.79,1500,1500,1500,1500,1500,1500
1782419269.048,0.05205,0.0282,0.03941,0.07112,-0.11,-1.99,-162.79,1500,1500,1500,1500,1500,1500
1782419269.383,0.03892,0.0259,0.03428,0.05797,-0.11,-2.0,-162.78,1500,1500,1500,1500,1500,1500
1782419269.716,0.03907,0.02845,0.03453,0.0594,-0.11,-2.0,-162.77,1500,1500,1500,1500,1500,1500
1782419270.047,0.03264,0.02544,0.04049,0.0579,-0.11,-1.99,-162.77,1500,1500,1500,1500,1500,1500
1782419270.381,0.02629,0.02787,0.03251,0.05024,-0.11,-2.0,-162.77,1500,1500,1500,1500,1500,1500
1782419270.713,0.05083,0.02878,0.03243,0.06681,-0.11,-2.0,-162.76,1500,1500,1500,1500,1500,1500
1782419271.046,0.50008,1.58789,1.10464,1.99792,-0.01,-1.96,-162.61,1500,1500,1500,1500,1500,1500
1782419271.383,1.11525,0.66783,0.65215,1.45434,10.07,26.82,-159.45,1500,1500,1500,1500,1500,1500
